UID	Basal	Hillock basal	Hillock squamous	Aberrant basal	Deuterosomal	Ciliated-TB	Ciliated-Bronch	Ciliated-axon	Club-TB	Club-nasal	Club-Bronch	Goblet	Goblet-nasal	Tuft	Ionocyte	PNEC	SMG Basal	SMG Duct	MEC	Mucous	Serous	Serous-nasal	RASC	AT1	AT2-AT1 int.	AT2	AT2-prolif	AdvFB	PBFB	SPFB	IntFB	AF	iALF	LipoFB1	SCMF	ADM	cADM	ASMC	VSMC	cVSMC	LSMC	Pericyte	Chondrocyte	PC-prog	Mesothelial	PAEC	PArEC	SAEC	PCEC	CAP1	CAP1-int	CAP2	CAP2-int	PVEC	SVEC	SVEC-act	LEC	LEC-cycling	CD4 T	Treg	CD8 T	T-prolif	iNKT	NK	ILC1	B-lineage	B	Plasma	AM	AM-lipid	MT+ AM	AM-prolif	IM	tMDM	iMON	pMON	cDC1	maDC	Langerhans	pDC	Neutrophil	Mast	HSC	Megakaryocyte	Erythrocyte	Schwann
KRT15	6.715	6.48	4.12	2.289	1.195	1.419	0.4616	0.6584	1.042	4.468	1.532	1.677	2.644	3.617	1.291	0.02041	2.273	2.281	5.58	1.502	0.02412	0.09426	1.662	1.542	1.536	0.7173	0.8716	0.103	0.0	0.3098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05348	0.0	0.0147	0.0	0.0	0.0	0.0	0.02432	0.005653	0.0	0.01653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01471	0.01262	0.0	0.0	0.0	0.0	0.0	0.0
KRT5	6.089	6.372	4.023	1.948	0.4009	1.079	0.2431	0.1295	0.6174	5.108	1.302	0.4242	1.399	3.77	1.563	0.0	1.636	1.837	5.162	0.4282	0.0	0.03067	0.3012	0.0	0.06202	0.0	0.008556	0.08298	0.0	0.1603	0.0	0.1213	0.0	0.0	0.0	0.0	0.0	0.09234	0.0	0.0	0.0	0.0	0.0	0.0	1.58	0.0	0.0	0.0	0.004395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.209	0.0	0.1183	0.0	0.0	0.0	0.0
MIR205HG	5.781	5.688	4.827	2.352	2.464	2.193	1.662	1.298	1.634	4.084	1.643	1.588	1.961	4.281	0.7854	0.1921	2.214	1.384	5.075	0.6668	0.02263	0.04361	1.256	0.01049	0.3989	0.0	0.07116	0.1519	0.0	0.05752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01356	0.0	0.0	0.2143	0.0	0.0	0.0	0.06006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01377	0.0	0.0	0.0	0.0	0.0	0.02051	0.0	0.0	0.06362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07525	0.0	0.0	0.0
TP63	4.3	3.241	1.474	4.238	0.3013	0.326	0.1156	0.1032	0.294	2.03	0.238	0.6304	0.4468	3.269	0.2834	0.07995	1.954	0.6231	3.429	0.08472	0.0	0.008828	0.795	0.441	1.587	0.6384	0.185	0.1422	0.1819	0.4643	0.1799	0.2511	0.03897	0.1072	0.1315	0.1927	0.1442	0.09234	0.01222	0.02924	0.08959	0.0469	0.0	0.0	0.04824	0.0	0.3647	0.03287	0.07295	0.1775	0.1898	0.235	0.1538	0.2263	0.004841	0.1002	1.151	1.526	0.2356	0.01814	0.1262	1.032	0.8926	0.0	0.04798	0.1477	0.09784	0.08166	0.1494	0.1813	0.3084	0.1703	0.2716	0.7211	0.02919	0.1543	0.07579	1.687	0.02926	0.6517	0.0	0.05189	0.02552	0.0	0.0	0.942
DLK2	2.51	2.26	0.7011	0.01965	0.01151	0.1035	0.0	0.01419	0.04718	0.5788	0.1204	0.02872	0.00829	0.504	0.0	0.07995	0.0	0.1113	2.016	0.1647	0.0	0.0	0.1584	0.0	0.02357	0.001884	0.008556	0.0212	0.01136	0.02585	0.0	0.02094	0.09922	0.04563	0.0	0.07308	0.01675	0.0	0.0	0.0147	0.02292	0.0	0.0	0.04165	0.0834	0.005653	0.01148	0.0	0.0	0.0	0.005472	0.005923	0.0	0.009965	0.009667	0.0069	0.4798	0.4298	0.02308	0.05375	0.0	0.02051	0.0	0.0	0.04798	0.07573	0.02011	0.001615	0.0	0.002923	0.0	0.0	0.0	0.01158	0.0	0.008544	0.00862	0.0	0.0	0.02513	0.0	0.0	0.0	0.0	0.0	0.0
CYP24A1	3.746	3.386	2.218	2.14	0.2729	0.7479	0.2592	0.2839	1.131	2.252	1.037	1.593	0.4468	1.99	0.3668	0.0	0.6552	0.5512	0.37	0.0	0.006068	0.04361	0.1459	0.0	0.5794	0.0	0.0	0.0	0.0	0.0	0.009547	0.0	0.0	0.0	0.02482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0069	0.0107	0.0	0.01159	0.01814	0.0	0.0	0.02079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01262	0.0	0.0	0.0	0.0	0.0	0.0
CDH3	4.905	4.377	3.106	3.355	1.613	2.01	1.478	1.671	1.366	3.488	1.715	2.189	2.32	2.867	1.291	0.2624	1.446	1.064	3.877	0.2821	0.04343	0.02632	2.082	1.25	2.331	1.141	1.364	0.1228	0.03381	0.1834	0.0	0.09193	0.0	0.0	0.1085	0.01862	0.04968	0.02699	0.01222	0.04364	0.02292	0.02364	0.02217	0.04165	0.9651	0.01128	0.005752	0.008289	0.0	0.0	0.0	0.0177	0.005062	0.0	0.1474	0.06095	0.0107	0.02422	0.03449	0.0	0.0	0.0	0.04129	0.0207	0.01617	0.0	0.0	0.001615	0.0	0.0	0.003615	0.004012	0.005523	0.01158	0.0	0.0	0.00862	0.0	0.02926	0.01262	0.03284	0.01751	0.0	0.0	0.1022	0.02634
KRT17	8.418	8.666	8.365	7.109	3.363	3.107	1.252	1.883	3.269	7.172	4.705	3.983	4.955	5.8	3.458	0.1557	3.35	4.338	7.911	1.62	0.04638	0.4361	3.534	1.407	3.706	0.1654	1.144	0.0	0.0	0.0386	0.009547	0.3118	0.0	0.0	0.0	0.0	0.008399	0.3809	0.0	0.09986	0.1841	0.0	0.0	0.0	0.4039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005523	0.0	0.0	0.0	0.0	0.09213	0.0	0.0	0.0	0.0	0.0506	0.2672	0.02623	0.0522
TNS4	3.902	3.695	2.458	1.346	0.5894	0.788	0.5365	0.496	1.239	3.255	1.254	1.602	2.048	2.273	0.4455	0.04053	3.083	2.122	2.806	1.014	0.488	0.5463	0.418	0.005253	0.09948	0.02244	0.03811	0.1804	0.02263	0.1128	0.0	0.04158	0.1989	0.0	0.03707	0.01862	0.01675	0.0	0.1948	0.0147	0.03425	0.0	0.0	0.0	0.1732	0.0501	0.005752	0.02472	0.04336	0.1312	0.02715	0.02355	0.005062	0.03458	0.0477	0.1194	0.0107	0.02422	0.1543	0.1719	0.0326	0.1189	0.0615	0.04111	0.04798	0.0	0.02011	0.0	0.0	0.0	0.0	0.0	0.005523	0.0	0.007352	0.0	0.0	0.0	0.0	0.01262	0.0	0.0	0.0	0.0	0.0	0.02634
LINC02057	4.663	3.628	1.619	1.805	2.63	3.775	4.107	4.048	0.9442	3.228	2.377	3.034	2.097	2.732	1.203	0.6242	0.2529	1.097	0.4494	1.08	0.006068	0.02632	1.208	0.6929	0.8317	0.1297	0.1698	0.05242	0.0	0.05752	0.0	0.0	0.07692	0.0	0.02482	0.0	0.0	0.0403	0.0	0.02924	0.0	0.0	0.0	0.0	0.278	0.0501	0.1581	0.07294	0.008776	0.1725	0.2324	0.1732	0.276	0.04915	0.004841	0.0	0.0	0.0	0.0	0.07123	0.0	0.0	0.02079	0.0	0.0	0.0	0.0	0.008056	0.003276	0.0	0.0463	0.0	0.005523	0.005799	0.0	0.0	0.0	0.03137	0.0	0.03753	0.0	0.0	0.0	0.0	0.0	0.02634
LAMC2	5.74	5.226	3.737	4.92	3.01	2.889	3.074	3.37	0.9884	3.536	1.866	2.26	1.294	2.437	1.374	0.2794	1.227	2.15	3.413	0.3424	0.001519	0.04361	1.818	3.492	3.477	0.693	1.558	0.1228	0.01136	0.09464	0.02845	0.0	0.09922	0.0	0.01246	0.0	0.0	0.01356	0.0	0.07202	0.0	0.0	0.0	0.0	2.687	0.005653	0.0	0.2371	0.0	0.0	0.0	0.0	0.0	0.0	0.2241	0.1194	0.1333	0.3068	0.0	0.0	0.0	0.06069	0.0	0.0	0.01617	0.0	0.0	0.003228	0.003276	0.002923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1216	0.0	0.0	0.03284	0.0	0.0	0.0	0.02623	0.0
FOXE1	1.407	1.294	0.5452	0.009857	0.0896	0.1215	0.004806	0.0	0.03162	0.6933	0.1204	0.09813	0.2992	0.0972	0.0	0.0	0.0	0.01535	0.0	0.0	0.001519	0.004421	0.01389	0.0	0.0	0.0	0.0	0.0	0.0	0.006506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL7A1	2.083	1.48	0.1998	1.133	0.06771	0.004868	0.0	0.04217	0.0159	0.6276	0.01514	0.0499	0.06502	0.6176	0.0	0.0	0.468	0.1742	0.9993	0.01241	0.0	0.0	0.02764	0.01049	0.03908	0.0	0.0	0.05242	0.2117	0.4357	0.262	0.169	0.1356	0.2544	0.5111	0.07308	0.07389	0.09234	0.2577	0.4741	0.2439	0.4385	0.0548	0.04165	0.01221	0.0	0.0	0.008289	0.0	0.0	0.01092	0.0	0.0	0.004991	0.0	0.0069	0.0	0.0	0.0	0.0	0.0	0.0	0.02079	0.0207	0.03216	0.0	0.0	0.0	0.0	0.0	0.003615	0.03179	0.01651	0.005799	0.01467	0.008544	0.02571	0.06207	0.05794	0.0	0.0	0.0	0.0506	0.0	0.0	0.07761
ALDH3A1	5.468	5.739	4.134	0.2198	1.101	3.242	1.963	0.7797	0.6524	5.165	1.664	1.109	4.162	2.437	1.374	0.3456	0.0	0.3235	0.1659	0.5093	0.004554	0.0	0.3676	0.09175	0.28	0.015	0.1075	0.0	0.0	0.0	0.01903	0.04158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02292	0.0	0.0	0.0	0.1622	0.02248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1527	0.09453	0.0	0.0	0.01639	0.02051	0.0	0.0	0.0	0.0	0.0	0.0	0.01306	0.01745	0.0	0.012	0.005523	0.005799	0.0	0.0	0.0	0.0	0.0	0.01262	0.0	0.01751	0.0	0.0	0.0	0.0522
PKP1	2.982	2.939	1.612	0.4472	0.2439	0.2664	0.05664	0.0	0.07779	2.203	0.3675	0.3235	0.5298	1.858	0.3668	0.04053	0.0	0.4073	1.3	0.01241	0.0	0.004421	0.06147	0.0	0.0	0.0	0.0	0.0	0.0	0.02585	0.0	0.0	0.0	0.0	0.0	0.0	0.02505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04824	0.2251	1.208	0.2511	0.5193	0.7404	1.631	0.726	2.182	0.009965	0.09387	0.08723	0.5475	0.194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003615	0.004012	0.005523	0.0	0.0	0.0	0.00862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S100A2	7.234	8.711	9.031	6.019	2.643	2.517	1.015	0.07639	2.986	7.577	4.263	2.286	5.867	6.417	3.661	0.04053	1.636	2.325	1.017	0.643	0.01211	0.1108	1.399	0.2011	1.932	0.1036	0.8069	0.06268	0.01136	0.4065	0.0	0.02094	0.0	0.0	0.0	0.0	0.06586	0.203	0.0	0.0	0.1429	0.0	0.02217	0.0	0.485	0.02805	0.08396	0.0	0.004395	0.05063	0.005472	0.1086	0.03011	0.004991	0.009667	0.0	0.03187	0.0	0.01159	0.0	0.01639	0.1378	0.0	0.0	0.0	0.0	0.0	0.0	0.061	0.06018	0.09456	0.05904	0.04361	0.0	0.0	0.0	0.0	0.06207	0.329	0.0	0.03284	0.0	0.2149	0.1398	0.052	0.02634
ADH7	3.04	3.109	1.458	0.0	0.6859	1.181	0.451	0.3014	0.1284	3.406	1.19	0.6257	2.939	1.354	0.4455	0.0	0.0	0.1396	0.1969	0.0	0.003037	0.01322	0.0514	0.0	0.01576	0.0	0.0	0.06268	0.0	0.006506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06551	0.0	0.0	0.0	0.0	0.008289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003228	0.003276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SPOCK3	3.808	2.719	0.1655	0.9656	0.174	0.5423	0.3261	0.2956	0.3377	2.008	0.586	0.69	0.306	2.187	2.909	0.998	0.0	0.05302	0.1018	0.0	0.001519	0.0	0.2493	0.005253	0.09206	0.01687	0.008556	0.0	0.707	0.0386	0.02845	0.0	0.007879	0.1745	0.02482	0.0	0.0	0.05348	0.0	0.0	0.0	0.02364	3.987	3.89	0.0	0.005653	0.0	0.05705	0.0	0.0	0.0	0.02355	0.0	0.004991	0.0	0.0	0.1036	0.1506	0.01159	0.3685	0.111	0.06069	0.08143	0.0	0.3065	0.0	0.02011	0.001615	0.0	0.0	0.0	0.01598	0.0	0.0	0.1404	0.05877	0.4621	0.0	0.3979	0.2549	0.06495	0.1662	1.584	0.0	0.0	0.7499
SNX31	2.306	1.939	0.2982	0.01965	0.0896	0.1393	0.04268	0.1744	0.08986	1.74	0.1753	0.1643	0.3653	1.158	0.1008	0.02041	0.0	0.1255	0.7711	0.07291	0.05079	0.03499	0.08139	0.0209	0.07712	0.04088	0.01281	0.0	0.02263	0.006506	0.03781	0.1018	0.03897	0.08987	0.03707	0.1762	0.02505	0.2835	0.8269	0.2687	0.2143	0.1472	0.1179	0.2865	0.07177	0.03911	0.01148	0.0	0.05611	0.01707	0.03252	0.005923	0.0596	0.01492	0.1605	0.3808	0.0	0.02422	0.3587	0.2811	0.04863	0.09977	0.3514	0.0	0.0791	0.0	0.02011	0.0	0.0452	0.01456	0.01799	0.008013	0.02197	0.0681	0.02195	0.0	0.01719	0.0	0.0	0.01262	0.0	0.0348	0.0506	0.1398	0.0	0.02634
CERNA2	1.978	1.503	0.7598	0.2942	0.03425	0.09893	0.0286	0.007114	0.05335	1.189	0.05963	0.1772	0.08867	1.503	0.0	0.0	0.2529	0.1113	0.1018	0.01241	0.003037	0.0	0.03106	0.01049	0.0	0.0	0.004284	0.0	0.0	0.006506	0.0	0.0	0.0	0.0	0.0	0.01862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02097	0.0	0.0	0.005752	0.008289	0.004395	0.0	0.01092	0.0	0.0	0.0	0.004841	0.0	0.0	0.0	0.0	0.01814	0.0326	0.06069	0.0	0.0	0.0	0.6552	0.1166	0.01607	0.003276	0.0	0.0	0.004012	0.0	0.01158	0.007352	0.0	0.0	0.09213	0.0	0.3673	0.0	0.0	0.1233	0.0	0.0	0.0
SERPINB5	3.774	4.228	3.189	0.7823	0.9598	1.015	0.883	0.5747	0.3452	4.039	0.8238	1.043	1.562	2.216	0.7236	0.1371	0.0	0.5192	1.908	0.6901	0.004554	0.03931	0.08468	0.005253	0.03135	0.001884	0.004284	0.01064	0.0	0.01298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0147	0.01151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01814	0.0	0.0	0.02079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC6A15	1.183	0.9164	0.09428	0.0	0.01151	0.00972	0.004806	0.02825	0.0	0.3003	0.01514	0.03582	0.03288	0.0972	0.0	0.06037	0.0	0.0	0.03473	0.0	0.0	0.0	0.003484	0.01049	0.0	0.003765	0.004284	0.1422	0.01136	0.0	0.009547	0.0	0.0	0.01843	0.01246	0.0	0.0	0.0	0.01222	0.0	0.01151	0.02364	0.0548	0.1408	0.0	0.0	0.01148	0.01653	0.01314	0.0114	0.03252	0.08638	0.02014	0.01492	0.004841	0.0069	0.02132	0.02422	0.02308	0.01814	0.0	0.0	0.04129	0.0	0.0	0.0	0.03993	0.0	0.0	0.0	0.0	0.004012	0.0	0.005799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05189	0.0	0.0	0.0	0.1271
DAPL1	3.022	3.155	1.385	0.2862	0.4009	0.6519	0.6359	0.1489	0.2108	2.946	0.5707	0.3747	1.01	0.9306	0.9566	2.798	0.0	0.2213	0.37	0.06101	0.007582	0.06069	0.07478	0.09175	0.06959	0.015	0.09546	0.04209	0.06685	0.0762	0.04711	0.3454	0.03897	0.05459	0.06126	0.01862	0.01675	0.0795	0.1177	0.0579	0.1111	0.03532	0.03313	0.0	0.02432	0.0	0.01148	0.0	0.0	0.0	0.0	0.0	0.01011	0.0	0.0	0.0	0.0	0.02422	0.0	0.1224	0.0326	0.1189	0.02079	0.12	0.03216	0.1241	0.1716	0.03196	0.167	0.1813	0.1673	0.156	0.09114	0.01733	0.1134	0.02548	0.07579	0.09213	0.1541	0.1786	0.03284	1.294	0.1925	0.0	0.0	0.0
SLC5A7	1.447	0.6931	0.05105	0.03903	0.01151	0.05267	0.0932	0.08314	0.05027	0.3477	0.02639	0.05689	0.04904	0.6606	0.0	0.0	0.0	0.0	0.03473	0.0	0.0	0.0	0.114	0.07186	0.05442	0.009394	0.02552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.124
FAT2	2.105	1.811	0.756	0.3803	0.174	0.17	0.06586	0.04217	0.273	1.792	0.238	0.3803	0.3909	1.65	0.0	0.04053	0.468	0.3296	0.8897	0.07291	0.0286	0.08176	0.06147	0.0	0.0079	0.005644	0.004284	0.0	0.0	0.0386	0.02845	0.02094	0.03126	0.009243	0.02482	0.01862	0.008399	0.0	0.02433	0.07202	0.02292	0.02364	0.044	0.04165	0.0	0.0	0.0	0.0	0.0	0.005714	0.0	0.0	0.0	0.0	0.0	0.0069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0207	0.01617	0.0	0.0	0.0	0.0	0.002923	0.007221	0.0	0.0	0.01733	0.007352	0.0	0.03417	0.1787	0.01471	0.0	0.0	0.06878	0.0	0.0	0.052	0.0
CLDN1	5.194	5.015	3.657	4.121	2.357	2.528	2.743	2.836	1.968	4.417	2.343	2.812	2.675	3.962	3.409	0.4089	2.435	2.147	2.271	0.4738	0.1083	0.04361	2.364	0.6331	3.142	1.848	2.077	0.04209	0.307	0.2617	0.03781	0.02094	0.233	0.01843	0.439	0.1762	0.5298	0.1177	0.04826	0.1272	0.1004	0.0811	0.0	0.0	4.72	0.0	0.0	0.0	0.0	0.0	0.01092	0.0	0.0	0.0	0.0	0.0069	0.0	0.01216	0.0	0.3254	0.0	0.0	0.1205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01441	0.06674	0.1522	0.0	0.007352	0.06697	1.898	0.7684	4.309	0.01262	0.0	0.0	0.02552	0.0	0.0	0.2662
MMP10	4.493	5.599	5.726	2.81	0.0787	0.2501	0.01913	0.0	0.0159	1.284	0.6087	0.3177	0.0	0.8019	0.5912	0.0	0.0	0.2923	0.03473	0.5093	0.007582	0.008828	0.0	0.0	0.0079	0.0	0.0	0.2539	0.0	0.1189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02292	0.0	0.01113	0.0	0.02432	0.0	0.005752	0.1042	0.004395	0.005714	0.005472	0.0177	0.02014	0.009965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003276	0.005841	0.3741	0.05131	0.1015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02552	0.0	0.052	0.0
FAM83B	2.607	2.336	1.258	0.5041	0.5023	0.4737	0.6876	0.8367	0.1829	1.781	0.2762	0.6163	0.5862	1.527	1.563	0.02041	0.9694	0.3296	1.889	0.09642	0.1445	0.06069	0.4968	0.02608	0.2403	0.03354	0.04644	0.0	0.02263	0.01298	0.05636	0.02094	0.03897	0.08987	0.0	0.037	0.0	0.0	0.0	0.0147	0.0	0.02364	0.0	0.0	0.1401	0.0	0.0	0.01653	0.03908	0.0	0.0	0.01182	0.0	0.0	0.0	0.0069	0.0	0.0	0.01159	0.01814	0.0	0.0	0.02079	0.0	0.0	0.0	0.0	0.0	0.0	0.005841	0.003615	0.008013	0.0	0.005799	0.007352	0.0	0.01719	0.03137	0.2566	0.04983	0.0	0.0	0.07525	0.0	0.0	0.07761
TRIM29	3.624	3.907	2.944	1.054	1.96	2.634	2.434	1.946	0.7373	3.672	1.639	1.874	2.605	2.216	1.009	0.1921	1.341	1.188	2.442	0.4648	0.009093	0.06069	0.3757	0.2283	0.2132	0.01873	0.05473	0.2268	0.06685	0.05752	0.0	0.0313	0.06186	0.009243	0.0	0.0	0.008399	0.01356	0.0	0.0	0.01151	0.0	0.0	0.0	0.5701	0.0	0.005752	0.0	0.004395	0.0	0.01092	0.0	0.0	0.004991	0.0	0.0	0.2553	0.3458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03284	0.0	0.02552	0.0	0.0	0.0
PTPRZ1	4.139	3.447	1.707	0.4326	0.8992	1.485	1.134	1.164	1.286	3.542	1.735	2.546	2.457	3.772	0.7236	0.1183	1.881	1.348	2.241	0.78	0.6479	0.2953	0.3864	0.08681	0.04677	0.003765	0.004284	0.1615	0.1411	0.2886	0.4837	0.8038	0.03126	0.0	0.12	0.01862	0.01675	0.06655	0.01222	0.0147	0.07869	0.0	3.607	3.768	0.4039	0.0	0.0	0.0	0.004395	0.0	0.005472	0.0	0.01011	0.0	0.0	0.01377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01617	0.0	0.0	0.006449	0.0	0.0	0.007221	0.0	0.005523	0.005799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01751	0.02552	0.0	0.0	4.241
PCP4L1	2.265	2.288	1.796	0.09566	0.2341	0.2583	0.2308	0.2839	0.4728	1.415	0.254	0.2823	0.483	1.016	0.1008	0.02041	0.0	0.06782	0.5489	0.0	0.001519	0.004421	0.8618	0.04661	0.07712	0.2816	0.2037	0.0	0.01136	0.0	0.01903	0.01051	0.0	0.03662	0.12	0.0	0.01675	0.2496	0.2161	0.3521	0.5265	0.0811	0.06551	0.08213	0.02432	0.0	0.005752	0.01653	0.004395	0.0	0.005472	0.0	0.0	0.0	0.0	0.01377	0.0	0.0	0.02308	0.0	0.0	0.04074	0.0	0.0	0.0	0.05092	0.0	0.003228	0.03243	0.08246	0.08777	0.1232	0.1571	0.5048	0.03639	0.0	0.0921	0.0	0.02926	0.01262	0.06495	0.01751	0.02552	0.0	0.0	0.02634
RASSF6	3.74	2.819	1.876	1.771	1.605	2.078	2.647	2.451	0.6048	2.684	1.158	1.835	1.808	3.584	4.011	2.331	1.636	0.8455	2.362	0.6746	0.1932	0.255	0.795	1.154	0.5363	0.4373	0.4747	0.03168	0.2216	0.0386	0.0	0.02094	0.01572	0.01843	0.0	0.0	0.0	0.0	0.0	0.09986	0.0	0.01187	0.0	0.0	0.07177	0.0	0.005752	0.03287	0.0	0.0	0.0	0.0	0.0	0.004991	0.0	0.01377	0.0107	0.02422	0.0	0.2039	0.0	0.02051	0.0	0.0	0.2254	3.293	1.602	0.6477	0.0	0.0	0.003615	0.0	0.0	0.005799	0.0	0.0	0.00862	0.1787	0.0	0.0	0.03284	0.0	0.0506	0.0	0.02623	0.0
DSC3	2.508	2.17	0.9056	1.212	0.2044	0.126	0.2143	0.1295	0.4188	2.094	0.3073	0.8515	1.304	2.386	0.1008	0.0	0.2529	0.1536	1.954	0.04902	0.0106	0.0	0.2256	0.005253	0.05442	0.0	0.004284	0.0212	0.0	0.06378	0.0	0.01051	0.0	0.0	0.0	0.0	0.0	0.02699	0.0	0.0	0.01151	0.0	0.0	0.0	1.876	0.005653	0.005752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0069	0.0107	0.0	0.01159	0.0	0.0	0.0	0.04129	0.0207	0.0	0.05092	0.0	0.001615	0.0	0.0	0.0	0.004012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
F3	6.05	5.445	4.186	4.83	3.02	2.818	1.772	1.621	2.468	5.277	4.046	3.981	5.144	3.668	1.821	0.9456	2.755	3.189	3.369	3.649	1.553	0.6374	3.939	3.532	4.29	3.793	4.168	3.13	1.262	1.485	0.01903	0.7794	0.4039	0.3374	0.5458	2.413	0.1365	1.956	1.197	1.492	1.283	1.692	0.0	0.0	2.271	0.0	0.005752	0.02472	0.0	0.01707	0.0	0.0	0.0	0.0	0.01448	0.09373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3645	0.0	0.004839	0.1553	0.3143	0.09456	0.03571	0.1817	0.2004	0.4944	0.1073	0.00862	0.0	0.1407	0.0	0.1867	0.0348	0.3422	0.0	0.3299	2.091
NPPC	1.995	1.082	0.03845	0.009857	0.02293	0.00972	0.0	0.01419	0.02535	0.3708	0.01514	0.02872	0.0	0.4063	0.195	0.07995	0.468	0.2147	2.729	0.1977	0.01663	0.2513	0.02764	0.02608	0.0079	0.009394	0.008556	0.08298	0.1514	0.0	0.0	0.0	0.08439	0.0	0.01246	0.0	0.0	0.0	0.01222	0.04364	0.01151	0.0	0.01113	0.02097	0.01221	0.005653	0.005752	0.0	0.004395	0.0	0.005472	0.0	0.0	0.02478	0.02881	0.0807	0.6808	0.2969	0.01159	0.07123	0.0326	0.08036	0.04129	0.0207	0.0	0.5529	0.1166	0.02879	0.0	0.0	0.0	0.008013	0.005523	0.0	0.01467	0.0	0.00862	0.1504	0.0	0.5515	0.0	0.0	0.1468	0.0	0.0	0.0
