1,14946,14966,ENSG00000227232:I12.1-14957,25,-,14946,14966,"255,0,0",2,"10,10","0,0,0"
1,14994,15014,ENSG00000227232:I12.1-15004,34,-,14994,15014,"255,0,0",2,"10,10","0,0,0"
1,15937,15957,ENSG00000227232:I10.1-15948,10,-,15937,15957,"255,0,0",2,"10,10","0,0,0"
1,16596,16616,ENSG00000227232:I10.1-16606,17,-,16596,16616,"255,0,0",2,"10,10","0,0,0"
1,17045,17065,ENSG00000227232:I8.1-17056,19,-,17045,17065,"255,0,0",2,"10,10","0,0,0"
1,17222,17242,ENSG00000227232:I8.1-17232,33,-,17222,17242,"255,0,0",2,"10,10","0,0,0"
1,17732,17752,ENSG00000227232:I7.1-17743,8,-,17732,17752,"255,0,0",2,"10,10","0,0,0"
1,17904,17924,ENSG00000227232:I7.1-17914,13,-,17904,17924,"255,0,0",2,"10,10","0,0,0"
1,18051,18071,ENSG00000227232:I6.1-18062,19,-,18051,18071,"255,0,0",2,"10,10","0,0,0"
1,18254,18274,ENSG00000227232:I6.1-18264,39,-,18254,18274,"255,0,0",2,"10,10","0,0,0"
